municipality,muni_code,tax_year,millage,land_millage
Aleppo Township,901,2018,3.5,NA
Aleppo Township,901,2019,3.5,NA
Aleppo Township,901,2020,3.5,NA
Aleppo Township,901,2021,3.5,NA
Aleppo Township,901,2022,3.5,NA
Aleppo Township,901,2023,3.5,NA
Aleppo Township,901,2024,3.5,NA
Aleppo Township,901,2025,3.5,NA
Aspinwall Borough,801,2018,5.86,NA
Aspinwall Borough,801,2019,6.86,NA
Aspinwall Borough,801,2020,6.86,NA
Aspinwall Borough,801,2021,6.86,NA
Aspinwall Borough,801,2022,6.86,NA
Aspinwall Borough,801,2023,6.86,NA
Aspinwall Borough,801,2024,8.36,NA
Aspinwall Borough,801,2025,8.36,NA
Avalon Borough,802,2018,9.83,NA
Avalon Borough,802,2019,9.83,NA
Avalon Borough,802,2020,9.83,NA
Avalon Borough,802,2021,9.83,NA
Avalon Borough,802,2022,9.83,NA
Avalon Borough,802,2023,9.83,NA
Avalon Borough,802,2024,9.83,NA
Avalon Borough,802,2025,9.83,NA
Baldwin Borough,877,2018,6.28,NA
Baldwin Borough,877,2019,6.78,NA
Baldwin Borough,877,2020,6.78,NA
Baldwin Borough,877,2021,6.78,NA
Baldwin Borough,877,2022,6.78,NA
Baldwin Borough,877,2023,6.78,NA
Baldwin Borough,877,2024,8.03,NA
Baldwin Borough,877,2025,8.03,NA
Baldwin Township,902,2018,7.8,NA
Baldwin Township,902,2019,7.8,NA
Baldwin Township,902,2020,7.8,NA
Baldwin Township,902,2021,8.8,NA
Baldwin Township,902,2022,9.8,NA
Baldwin Township,902,2023,9.8,NA
Baldwin Township,902,2024,9.8,NA
Baldwin Township,902,2025,9.8,NA
Bell Acres Borough,883,2018,4.32,NA
Bell Acres Borough,883,2019,4.32,NA
Bell Acres Borough,883,2020,4.32,NA
Bell Acres Borough,883,2021,4.32,NA
Bell Acres Borough,883,2022,4.32,NA
Bell Acres Borough,883,2023,4.82,NA
Bell Acres Borough,883,2024,4.82,NA
Bell Acres Borough,883,2025,4.82,NA
Bellevue Borough,803,2018,4.89,NA
Bellevue Borough,803,2019,4.89,NA
Bellevue Borough,803,2020,4.89,NA
Bellevue Borough,803,2021,4.89,NA
Bellevue Borough,803,2022,4.89,NA
Bellevue Borough,803,2023,4.89,NA
Bellevue Borough,803,2024,5.89,NA
Bellevue Borough,803,2025,5.89,NA
Ben Avon Borough,804,2018,4.36,NA
Ben Avon Borough,804,2019,4.35,NA
Ben Avon Borough,804,2020,4.27,NA
Ben Avon Borough,804,2021,5.07,NA
Ben Avon Borough,804,2022,4.92,NA
Ben Avon Borough,804,2023,4.92,NA
Ben Avon Borough,804,2024,4.88,NA
Ben Avon Borough,804,2025,5.5,NA
Ben Avon Heights Borough,805,2018,7.95,NA
Ben Avon Heights Borough,805,2019,7.95,NA
Ben Avon Heights Borough,805,2020,7.95,NA
