school,school_code,tax_year,millage,land_millage
ALLEGHENY VALLEY,1,2018,20.8377,NA
ALLEGHENY VALLEY,1,2019,20.8377,NA
ALLEGHENY VALLEY,1,2020,20.8377,NA
ALLEGHENY VALLEY,1,2021,20.8377,NA
ALLEGHENY VALLEY,1,2022,20.8377,NA
ALLEGHENY VALLEY,1,2023,20.8377,NA
ALLEGHENY VALLEY,1,2024,21.3899,NA
ALLEGHENY VALLEY,1,2025,21.7049,NA
AVONWORTH,2,2018,19.1,NA
AVONWORTH,2,2019,19.53,NA
AVONWORTH,2,2020,19.53,NA
AVONWORTH,2,2021,19.53,NA
AVONWORTH,2,2022,20.19,NA
AVONWORTH,2,2023,21.01,NA
AVONWORTH,2,2024,21.43,NA
AVONWORTH,2,2025,22.28,NA
BALDWIN-WHITEHALL,4,2018,21.05,NA
BALDWIN-WHITEHALL,4,2019,21.76,NA
BALDWIN-WHITEHALL,4,2020,21.76,NA
BALDWIN-WHITEHALL,4,2021,22.63,NA
BALDWIN-WHITEHALL,4,2022,23,NA
BALDWIN-WHITEHALL,4,2023,23.85,NA
BALDWIN-WHITEHALL,4,2024,25,NA
BALDWIN-WHITEHALL,4,2025,25,NA
BETHEL PARK,5,2018,22.8763,NA
BETHEL PARK,5,2019,21,NA
BETHEL PARK,5,2020,21.7654,NA
BETHEL PARK,5,2021,22.5272,NA
BETHEL PARK,5,2022,23.4281,NA
BETHEL PARK,5,2023,24.5526,NA
BETHEL PARK,5,2024,26.0748,NA
BETHEL PARK,5,2025,27.3263,NA
BRENTWOOD,6,2018,30.5373,NA
BRENTWOOD,6,2019,31.545,NA
BRENTWOOD,6,2020,32.7121,NA
BRENTWOOD,6,2021,34.1187,NA
BRENTWOOD,6,2022,35.7905,NA
BRENTWOOD,6,2023,37.4191,NA
BRENTWOOD,6,2024,37.7277,NA
BRENTWOOD,6,2025,39.1977,NA
CARLYNTON,7,2018,23.5,NA
CARLYNTON,7,2019,24.1815,NA
CARLYNTON,7,2020,25.7891,NA
CARLYNTON,7,2021,26.7432,NA
CARLYNTON,7,2022,26.7432,NA
CARLYNTON,7,2023,26.7432,NA
CARLYNTON,7,2024,28.5082,NA
CARLYNTON,7,2025,28.5082,NA
CHARTIERS VALLEY,8,2018,17.071,NA
CHARTIERS VALLEY,8,2019,17.5595,NA
CHARTIERS VALLEY,8,2020,18.2118,NA
CHARTIERS VALLEY,8,2021,18.758,NA
CHARTIERS VALLEY,8,2022,19.3957,NA
CHARTIERS VALLEY,8,2023,20.1909,NA
CHARTIERS VALLEY,8,2024,20.1909,NA
CHARTIERS VALLEY,8,2025,20.1909,NA
CLAIRTON,10,2018,7.542,80.808
CLAIRTON,10,2019,7.806,83.6363
CLAIRTON,10,2020,8.126,87.0653
CLAIRTON,10,2021,8.126,87.0653
CLAIRTON,10,2022,8.126,87.0653
CLAIRTON,10,2023,8.662,91.6053
CLAIRTON,10,2024,9.3985,99.3917
CLAIRTON,10,2025,10,105.7527
CORNELL,11,2018,23.675,NA
CORNELL,11,2019,23.675,NA
CORNELL,11,2020,23.675,NA
CORNELL,11,2021,24.527,NA
CORNELL,11,2022,25.107,NA
CORNELL,11,2023,25.734,NA
CORNELL,11,2024,26.557,NA
CORNELL,11,2025,27.8317,NA
DEER LAKES,12,2018,21.953,NA
DEER LAKES,12,2019,21.953,NA
DEER LAKES,12,2020,21.953,NA
DEER LAKES,12,2021,22.69,NA
DEER LAKES,12,2022,22.69,NA
DEER LAKES,12,2023,22.69,NA
DEER LAKES,12,2024,24.25,NA
DEER LAKES,12,2025,24.25,NA
DUQUESNE AREA,13,2018,17.5,NA
DUQUESNE AREA,13,2019,17.5,NA
DUQUESNE AREA,13,2020,17.5,NA
DUQUESNE AREA,13,2021,17.5,NA
DUQUESNE AREA,13,2022,18.48,NA
DUQUESNE AREA,13,2023,19.48,NA
DUQUESNE AREA,13,2024,21.19,NA
DUQUESNE AREA,13,2025,22.58,NA
EAST ALLEGHENY,14,2018,26.9722,NA
EAST ALLEGHENY,14,2019,26.9722,NA
EAST ALLEGHENY,14,2020,26.9722,NA
EAST ALLEGHENY,14,2021,26.9722,NA
EAST ALLEGHENY,14,2022,26.9722,NA
EAST ALLEGHENY,14,2023,26.9722,NA
EAST ALLEGHENY,14,2024,28.024,NA
EAST ALLEGHENY,14,2025,28.024,NA
ELIZABETH-FORWARD,16,2018,24.0213,NA
ELIZABETH-FORWARD,16,2019,24.7899,NA
ELIZABETH-FORWARD,16,2020,25.6823,NA
ELIZABETH-FORWARD,16,2021,26.3243,NA
ELIZABETH-FORWARD,16,2022,26.3243,NA
ELIZABETH-FORWARD,16,2023,26.8508,NA
ELIZABETH-FORWARD,16,2024,26.8508,NA
ELIZABETH-FORWARD,16,2025,28.3544,NA
FORT CHERRY,48,2018,12.141,NA
FORT CHERRY,48,2019,12.5052,NA
FORT CHERRY,48,2020,12.9304,NA
FORT CHERRY,48,2021,13.4347,NA
FORT CHERRY,48,2022,14.0258,NA
FORT CHERRY,48,2023,14.7398,NA
FORT CHERRY,48,2024,15.72,NA
FORT CHERRY,48,2025,16.506,NA
FOX CHAPEL AREA,17,2018,19.575,NA
FOX CHAPEL AREA,17,2019,19.575,NA
FOX CHAPEL AREA,17,2020,19.8686,NA
FOX CHAPEL AREA,17,2021,20.1269,NA
FOX CHAPEL AREA,17,2022,20.4288,NA
FOX CHAPEL AREA,17,2023,20.7352,NA
FOX CHAPEL AREA,17,2024,21.5128,NA
FOX CHAPEL AREA,17,2025,22.0076,NA
GATEWAY,18,2018,19.8675,NA
GATEWAY,18,2019,19.8675,NA
GATEWAY,18,2020,19.8675,NA
GATEWAY,18,2021,20.8914,NA
GATEWAY,18,2022,21.7479,NA
GATEWAY,18,2023,22.857,NA
GATEWAY,18,2024,24.0684,NA
GATEWAY,18,2025,25.2718,NA
HAMPTON,20,2018,18.95,NA
HAMPTON,20,2019,19.38,NA
HAMPTON,20,2020,19.71,NA
HAMPTON,20,2021,20.3,NA
