municipality,muni_code,value_as_of_date,scraped_at,taxable_value,exempt_value,purta_value,all_real_estate,median_residential_value,scrape_week,taxable_value_wow_change,taxable_value_wow_pct,year,taxable_value_ytd_change,taxable_value_ytd_pct
Aleppo Township,901,2026-01-09,2026-01-13 16:46:00,163301615,84581600,0,247883215,137800,2026-01-16,NA,NA,2026,0,0
Aleppo Township,901,2026-01-23,2026-01-31 03:19:27.539135,163301615,84581600,0,247883215,137800,2026-01-30,0,0,2026,0,0
Aleppo Township,901,2026-01-30,2026-02-02 20:50:09.176829,163301615,84581600,0,247883215,137800,2026-02-06,0,0,2026,0,0
Aleppo Township,901,2026-02-06,2026-02-08 19:25:30.34415,163301615,84581600,0,247883215,137800,2026-02-13,0,0,2026,0,0
Aleppo Township,901,2026-02-13,2026-02-15 11:32:11.25219,163053115,84581600,0,247634715,137800,2026-02-13,-248500,-0.1522,2026,-248500,-0.1522
Aleppo Township,901,2026-02-20,2026-02-22 21:25:55.253994,163053135,84581600,0,247634735,137800,2026-02-27,20,0,2026,-248480,-0.1522
Aleppo Township,901,2026-02-27,2026-03-01 21:36:14.215424,163053135,84581600,0,247634735,137800,2026-02-27,0,0,2026,-248480,-0.1522
Aleppo Township,901,2026-03-06,2026-03-08 21:36:49.890961,162925835,84581600,0,247507435,137800,2026-03-06,-127300,-0.0781,2026,-375780,-0.2301
Aleppo Township,901,2026-03-20,2026-03-22 21:39:02.297107,162925835,84581600,0,247507435,137800,2026-03-20,0,0,2026,-375780,-0.2301
Aleppo Township,901,2026-03-27,2026-03-29 21:45:45.278244,162925835,84581600,0,247507435,137800,2026-03-27,0,0,2026,-375780,-0.2301
Aleppo Township,901,2026-04-03,2026-04-05 21:46:04.715977,162925835,84581600,0,247507435,137800,2026-04-03,0,0,2026,-375780,-0.2301
Aleppo Township,901,2026-04-10,2026-04-12 21:47:56.735708,162925835,84581600,0,247507435,137800,2026-04-10,0,0,2026,-375780,-0.2301
Aleppo Township,901,2026-04-17,2026-04-19 21:49:15.634443,162925835,84581600,0,247507435,137800,2026-04-17,0,0,2026,-375780,-0.2301
Baldwin Township,902,2026-01-09,2026-01-13 16:46:06,113283000,3244300,41900,116569200,105750,2026-01-16,NA,NA,2026,0,0
Baldwin Township,902,2026-01-23,2026-01-31 03:19:33.319707,113283000,3244300,41900,116569200,105750,2026-01-30,0,0,2026,0,0
Baldwin Township,902,2026-01-30,2026-02-02 20:50:14.338916,113283000,3244300,41900,116569200,105750,2026-02-06,0,0,2026,0,0
Baldwin Township,902,2026-02-06,2026-02-08 19:25:35.46748,113283000,3244300,41900,116569200,105750,2026-02-13,0,0,2026,0,0
Baldwin Township,902,2026-02-13,2026-02-15 11:32:16.134115,113283000,3244300,41900,116569200,105750,2026-02-13,0,0,2026,0,0
Baldwin Township,902,2026-02-20,2026-02-22 21:26:00.682177,113283000,3244300,41900,116569200,105750,2026-02-27,0,0,2026,0,0
Baldwin Township,902,2026-02-27,2026-03-01 21:36:19.600451,113283000,3244300,41900,116569200,105750,2026-02-27,0,0,2026,0,0
Baldwin Township,902,2026-03-06,2026-03-08 21:36:54.67251,113283000,3244300,41900,116569200,105750,2026-03-06,0,0,2026,0,0
